method,planner_score,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_plus_de_vjepa,decision_consistency_score,reach-v3,brightness,0.016666666666666666,0.12909944487358055,60,623.080115598518,290.7763933661102,60,197.68333333333334,17.944822837427697,60,0.3093561247237511,0.11040218864057408,60,0.9935998003295943,0.07121209683998475,60,0.14859029995698145,0.005216511736003584,60,4.87028418027516,2.558302846220136,60,-4.727603529369733,0.4270617953629676,60,0.006238883740421324,0.0006754585880125416,60,5.395237921698074,2.6462435592650904,60,0.0032442304757528168,0.0008386600813337462,60,0.016666666666666663,37.53907096590672,2.3166666666666664,0.014252861266326435,0.009193442170325692,0.0006734487692945806,0.3302754772655207,0.05513344070807378,8.720132874751168e-05,0.34162857450141115,0.00010827055093781857
bc_plus_de_vjepa,decision_consistency_score,reach-v3,clean,0.18333333333333332,0.39020492949942315,60,886.6010749452779,398.2890234157866,60,173.55,56.83858351745923,60,0.15895593915489623,0.0792592492874101,60,0.7082269828026414,0.13525482900021824,60,0.15135773101098018,0.006518152948429671,60,3.9252228872415142,3.3892645968424655,60,-5.81021256192935,0.9851420751512964,60,0.005952627044460359,0.0019464088408859051,60,4.314328990349455,3.4729942891412118,60,0.0030778507790632397,0.002411290454487343,60,0.050375239785310166,51.418891822218576,7.337829579504632,0.010232325084101379,0.017461323340399237,0.0008414899272433629,0.4375521779820421,0.12718129502363953,0.0002512803008553997,0.44836163477724594,0.00031129625910327976
bc_plus_de_vjepa,entropy_score,button-press-v3,background_shift,0.7833333333333333,0.415450201656585,60,48.82553249718321,27.561795012912384,60,99.08333333333333,53.66635522947146,60,0.02692228697369647,0.020636032194145223,60,0.8282380048242893,0.03013753984962494,60,0.06910282591026401,0.006723712139348913,60,-1.0988448554372143,0.39212227906995295,60,-0.9637623146789452,0.33215396993971785,60,0.010636046407278084,0.0015418174300694891,60,3.307695490462197,1.1538989980828893,60,0.0011344815850751826,0.00025022034099582576,60,0.05363439040648223,3.55821243588641,6.928296668513143,0.002664100300657485,0.0038907396644419926,0.0008680275046796995,0.05062276855049416,0.04288089313177354,0.00019904777431838165,0.1489677200926818,3.230330711863914e-05
bc_plus_de_vjepa,entropy_score,button-press-v3,brightness,0.15,0.3600847357902755,60,60.312920625851845,19.315448393396384,60,182.16666666666666,42.93636073826388,60,0.08092669936126633,0.027617178449157745,60,0.9303475659867994,0.07153364335165571,60,0.12750998750082215,0.010860763217765579,60,-2.5951655872958397,0.6010929908935486,60,-2.3505011173805364,0.57396469748817,60,0.00764568978283556,0.0008793757015796885,60,3.617882644168602,1.5021134337046873,60,0.0021829883635427092,0.00044261787960525156,60,0.046486739497974494,2.4936136650717664,5.543060336201666,0.0035653624067608775,0.009234953646483449,0.0014021185023169389,0.07760077144175734,0.07409852382275535,0.00011352691490925323,0.19392201042842308,5.714172254815929e-05
bc_plus_de_vjepa,entropy_score,button-press-v3,clean,0.9333333333333333,0.2515488742932317,60,51.31040121467884,24.67824696289848,60,75.86666666666666,33.97529843805352,60,0.02205776313371787,0.013334142910279656,60,0.9313979465525589,0.04756543419687328,60,0.13857446085101968,0.006492825001665613,60,-2.6294083115677234,0.4114329560411043,60,-2.4667953699636627,0.4303251316163011,60,0.004535703962577118,0.0009702343973372158,60,0.7707958410077471,0.23057099006341794,60,0.0010385811842875052,0.00037083215049449114,60,0.03247482002983031,3.1859479833633193,4.386192167766938,0.0017214304475820935,0.006140671149987165,0.0008382201033763354,0.05311576622760284,0.05555473560681496,0.00012525672209348754,0.029766586821139116,4.787422477011489e-05
bc_plus_de_vjepa,entropy_score,drawer-open-v3,background_shift,0.0,0.0,60,633.4914248049442,172.88763992461003,60,200.0,0.0,60,0.1892200925850556,0.00815604754694783,60,0.4522014927597096,0.07878195726107895,60,0.11175260188244283,0.015548563501921808,60,-2.3669342281470693,0.7211192838528208,60,-2.302792913372318,0.7925848233693884,60,0.009990104915186142,0.002182369208634537,60,120.5654106076515,80.94503666835334,60,0.007930285626366336,0.002398419594890695,60,0.0,22.31969833977064,0.0,0.0010529412106734934,0.010170706948459441,0.0020073109166797213,0.09309609923303312,0.10232226071221294,0.00028174265334391405,10.449959299156038,0.0003096346382743067
bc_plus_de_vjepa,entropy_score,drawer-open-v3,brightness,0.0,0.0,60,253.26842328760935,55.113938942365465,60,200.0,0.0,60,0.1899999999999994,0.0,60,0.644748427127488,0.12954444400287193,60,0.13860327332730715,0.009576059356726434,60,-6.1081103563010695,1.0645672249779579,60,-5.498445405607423,1.1675911723684085,60,0.007557286521070637,0.0013263909307772062,60,133.79510695876678,106.12113540720117,60,0.00825740355577788,0.005158845706145207,60,0.0,7.1151789222557955,0.0,0.0,0.016724115807227408,0.0012362639470298396,0.1374350377752625,0.15073537219205466,0.00017123633284868913,13.700179670423745,0.0006660041168518009
bc_plus_de_vjepa,entropy_score,drawer-open-v3,clean,0.4666666666666667,0.5030977485864635,60,505.63550364985105,87.95134967524889,60,164.73333333333332,40.96872170561452,60,0.11338599176629212,0.08131286402949353,60,0.9905913548475629,0.048415880017252194,60,0.155194778943543,0.0035934902839979293,60,-8.464831526021397,1.1631360874136554,60,-8.321410623989847,1.2150240772364136,60,0.0046757710086961085,0.0008064364914163889,60,2.698447046357076,4.372839849908994,60,0.0012587213714951872,0.0006435559465003764,60,0.06494964005966064,11.3544704189568,5.289039229375045,0.010497445607288552,0.00625046323329314,0.000463917600822738,0.1501602231975314,0.15685893387925545,0.00010411050336765382,0.5645311971443224,8.30827154382903e-05
bc_plus_de_vjepa,entropy_score,reach-v3,background_shift,0.18333333333333332,0.39020492949942304,60,788.0829793268805,380.700801584192,60,172.76666666666668,58.314566795655544,60,0.18903325215743969,0.08533597683817026,60,0.8189406520676401,0.0639432699051477,60,0.10521716255326254,0.014292436808691326,60,-2.8435301305959237,0.4018874646769779,60,-2.753492857789234,0.3758664612913425,60,0.013126025597982573,0.001951213574809686,60,4.207043632240794,2.0640773309329674,60,0.0014712917719738026,0.0003942766309761708,60,0.05037523978531015,49.148262147446324,7.5283782013624645,0.011016827237552509,0.008255040648156098,0.0018451456578927794,0.05188344859144856,0.04852415149930947,0.0002519005893377251,0.2664712375995879,5.090089418564923e-05
bc_plus_de_vjepa,entropy_score,reach-v3,brightness,0.05,0.21978417765108274,60,618.3416160899399,359.1271592925916,60,191.53333333333333,37.228322855037,60,0.28180447640862133,0.12100046211511269,60,1.0540737241873799,0.06188984547957148,60,0.1297384308946181,0.007167628960332587,60,-5.097451760954157,0.4407799540745806,60,-4.578658653569272,0.3979519693079955,60,0.006430786791319583,0.0007406282975061458,60,5.255292271929464,1.7803400855654825,60,0.003113744185481335,0.0006288093728416155,60,0.02837401532675119,46.36311690369951,4.806155814159708,0.015621092488507763,0.007989944694724357,0.0009253369198387364,0.05690444738243069,0.05137537832401039,9.561470206570849e-05,0.2298409167326867,8.11789409651569e-05
bc_plus_de_vjepa,entropy_score,reach-v3,clean,0.4,0.494032181755571,60,755.6594075511603,490.9659458802342,60,136.0,79.22848315077655,60,0.12534328209877044,0.07402734200942675,60,0.7463711075231367,0.1008453216637554,60,0.14672923768608678,0.005317028858160157,60,-6.3998528278096245,0.5990432869807234,60,-6.000243210096881,0.7152292191764877,60,0.005301692164898202,0.002048351376729616,60,4.266993048524467,3.479717383288841,60,0.0027790261646171645,0.0022483237412650103,60,0.06377928041432807,63.38343106497063,10.228353192941084,0.009556888758883683,0.01301907504488849,0.0006864254739652842,0.0773361558044564,0.09233569515304904,0.00026444102564182793,0.4492295824995377,0.0002902573468934046
bc_plus_de_vjepa,random_candidate_control,button-press-v3,background_shift,0.7333333333333333,0.44594849085648347,60,52.5317084911438,28.568589692799964,60,109.5,55.13235230956903,60,0.023364475740422882,0.014721176234833983,60,0.8011213560114805,0.026127716040499117,60,0.10878197081876646,0.004881825390706182,60,0.0013835168627460209,0.00010245643756826586,60,-0.9251626780030812,0.4549777915094418,60,0.010460716918827722,0.0018772059333084562,60,3.615346788851282,1.214340186913733,60,0.001149367971566455,0.0002672940751441975,60,0.05757170261178303,3.6881890701615707,7.117556077740029,0.001900495679803214,0.003373073636642982,0.0006302409479099186,1.3227069213787786e-05,0.05873738031367661,0.00024234624390351338,0.15677064401824298,3.450751671911303e-05
bc_plus_de_vjepa,random_candidate_control,button-press-v3,brightness,0.3,0.4621247905424446,60,66.02388763786583,23.037664896554865,60,168.4,48.7091680369051,60,0.056390404143879115,0.034819952533885166,60,0.8181729012467647,0.030584073168693462,60,0.10866538736697645,0.004101354664179156,60,0.00138015355731451,9.298131204529132e-05,60,-2.36372350858246,0.5314137895885254,60,0.007616177110211726,0.0010341697251543816,60,3.8602409469484615,1.6960957758961115,60,0.0023512694467891274,0.000595900772663173,60,0.059660053921349286,2.9741497493288067,6.288326553818401,0.004495236542649,0.003948386868051296,0.0005294826103751994,1.2003835768664279e-05,0.06860522523404437,0.00013351073742249404,0.2189650231206129,7.693045895055337e-05
bc_plus_de_vjepa,random_candidate_control,button-press-v3,clean,0.9166666666666666,0.27871780678530217,60,67.37140157449325,37.07376397499376,60,81.96666666666667,36.24725199013242,60,0.01989120441072262,0.0016257738179169016,60,0.8748223125134699,0.04188007689544687,60,0.10834480291938808,0.005173743443665846,60,0.001368117092206176,0.00011467737088946565,60,-2.784809892777416,0.6953665974988943,60,0.0036711583182719885,0.0005492763427384208,60,0.8866738609854388,0.8889908322528429,60,0.0009742805905957288,0.0003665109045346644,60,0.03598231413236439,4.786202348545844,4.679500110118884,0.00020988649738307364,0.0054066946784650585,0.0006679274064955878,1.4804784921391722e-05,0.08977144172073778,7.091127092972069e-05,0.1147682229415444,4.731635431553905e-05
