method,lambda,reference_policy_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
hybrid_lambda_1e-3,0.001,strong,clean,latent_mse,6,0.001221243504137893,8.369089129549876e-05,3.4166663298784365e-05,0.0012107758611964847,0.8645401082793519,4.8019445339503735,0.004875290356654489,0.0,0.03125
hybrid_lambda_1e-3,0.001,strong,clean,decision_kl,6,0.2620766764962508,0.05602284773866773,0.022871231816228396,0.2998525403094812,-12.59814700060286,-19.44006364691722,6.646315707914187e-06,0.0,0.03125
hybrid_lambda_1e-3,0.001,strong,clean,action_mse,6,0.00020221081252293094,1.8159931142736812e-05,7.413760843963771e-06,0.00021503744105378213,-5.96483499245286,-22.361366642180936,3.3231593400602474e-06,0.0,0.03125
hybrid_lambda_1e-4,0.0001,strong,brightness,latent_mse,6,0.05111176979216597,0.0018055033262086642,0.0007370936463515056,0.051143187149891946,-0.061430191344731405,-3.181521837251973,0.02449641714126907,0.0,0.03125
hybrid_lambda_1e-4,0.0001,strong,brightness,decision_kl,6,12.827098273426024,3.063917471509773,1.2508390698662266,12.828301030898432,-0.009375812662258492,-0.07413670137293885,0.9437762148108295,9.0,0.84375
hybrid_lambda_1e-4,0.0001,strong,brightness,action_mse,6,0.023733770663711604,0.003647166306692415,0.0014889494097445797,0.02375813567235598,-0.10255437960447987,-1.4362434800287354,0.2104228049350353,5.0,0.3125
hybrid_lambda_1e-4,0.0001,strong,clean,latent_mse,6,0.001210913033972948,7.904923150174167e-05,3.227171362306819e-05,0.0012107758611964847,0.011329328644512183,1.619576100450813,0.16624863631609055,3.0,0.125
hybrid_lambda_1e-4,0.0001,strong,clean,decision_kl,6,0.28995445475605247,0.058442405776982294,0.023859012249048416,0.2998525403094812,-3.3009843915988912,-30.24275145679609,7.415206851613745e-07,0.0,0.03125
hybrid_lambda_1e-4,0.0001,strong,clean,action_mse,6,0.00021146169906994868,1.6509577153126446e-05,6.740006649045123e-06,0.00021503744105378213,-1.662846231014779,-15.255523157369996,2.1947228685560985e-05,0.0,0.03125
hybrid_lambda_3e-2,0.03,strong,brightness,latent_mse,6,0.053204971179115275,0.00023462783378803664,9.578641203920536e-05,0.051143187149891946,4.031395273002037,3.2491482848906323,0.022717342460767603,0.0,0.03125
hybrid_lambda_3e-2,0.03,strong,brightness,decision_kl,6,11.24055440432632,2.6456147014603344,1.080067679097245,12.828301030898432,-12.376904959961907,-2.6388238251491853,0.04604132984229122,0.0,0.03125
hybrid_lambda_3e-2,0.03,strong,brightness,action_mse,6,0.023231460856326314,0.0029308540254557964,0.0011965161454914604,0.02375813567235598,-2.2168187912256228,-1.5226461879481377,0.1883426756316037,3.0,0.15625
hybrid_lambda_3e-2,0.03,strong,clean,latent_mse,6,0.0017880303011771174,0.00018818813719636307,7.682748529599415e-05,0.0012107758611964847,47.67640803560387,11.616337354826465,8.300005309156006e-05,0.0,0.03125
hybrid_lambda_3e-2,0.03,strong,clean,decision_kl,6,0.29520091386858033,0.06164248998329369,0.02516544115561545,0.2998525403094812,-1.5513046633188081,-0.8630871773506609,0.4275397017740929,8.0,0.6875
hybrid_lambda_3e-2,0.03,strong,clean,action_mse,6,0.0002601844744911526,3.245806450112015e-05,1.3250949344348102e-05,0.00021503744105378213,20.99496404725116,6.3510427825938836,0.001429302025087513,0.0,0.03125
latent_only,0.0,none,brightness,latent_mse,6,0.051143187149891946,0.0017813304625029522,0.0007272251160680328,0.051143187149891946,0.0,,,,
latent_only,0.0,none,brightness,decision_kl,6,12.828301030898432,3.0704827318138577,1.2535193261618194,12.828301030898432,0.0,,,,
latent_only,0.0,none,brightness,action_mse,6,0.02375813567235598,0.003644661290525413,0.0014879267411768168,0.02375813567235598,0.0,,,,
latent_only,0.0,none,clean,latent_mse,6,0.0012107758611964847,7.887778018505046e-05,3.220171891613122e-05,0.0012107758611964847,0.0,,,,
latent_only,0.0,none,clean,decision_kl,6,0.2998525403094812,0.059134114219433924,0.024141401038178713,0.2998525403094812,0.0,,,,
latent_only,0.0,none,clean,action_mse,6,0.00021503744105378213,1.7011455266568893e-05,6.944897530879231e-06,0.00021503744105378213,0.0,,,,
