method,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_plus_vjepa,button-press-v3,clean,0.85,0.3600847357902755,0.046486739497974494,60,54.96958809026283,26.153509658706696,3.3764035784348616,60,88.66666666666667,47.432259160191265,6.123478326680499,60,0.023447652750014716,0.014403826807566286,0.0018595260449120056,60,0.910664924426355,0.05340906829302134,0.006895081067844208,60,-2.681324552655826,0.6616359394998254,0.08541683249783738,60,0.005006687266774701,0.0009817254076136582,0.00012674020514121288,60,1.0943533619075536,0.7487446837078474,0.09666252301872776,60,0.001043729660724745,0.00034077625643054595,4.399402553128042e-05,60,0.75,0.9333333333333333
bc_plus_de_vjepa,button-press-v3,clean,0.95,0.2197841776510828,0.028374015326751198,60,49.80204013909577,20.08925993594457,2.5935123056515064,60,75.63333333333334,33.29476299567025,4.298335419938461,60,0.02142295069012141,0.012911061749520843,0.0016668109045916606,60,0.9269878686246248,0.05379967752330263,0.006945508502636018,60,-2.457170259565068,0.5843027444157203,0.07543315994217911,60,0.004593800231680876,0.0007414927703299121,9.572630502736502e-05,60,0.7446788596553674,0.18430068812752876,0.023793116527082863,60,0.001054168012588738,0.00045630861935057576,5.890918944918931e-05,60,0.8833333333333333,1.0
bc_only,button-press-v3,brightness,0.26666666666666666,0.4459484908564836,0.05757170261178304,60,69.06018816453849,22.05504026945253,2.847293455450786,60,172.35,46.27838570057136,5.974513903589211,60,0.06257283622061104,0.03351896507838672,0.004327279784356658,60,0.7858150813999659,0.032774773750463664,0.0042312050970420585,60,-2.3923523552992876,0.5242071121821537,0.06767484718149881,60,,,,0,,,,0,,,,0,0.16666666666666666,0.38333333333333336
bc_plus_vjepa,button-press-v3,brightness,0.06666666666666667,0.2515488742932317,0.03247482002983031,60,61.088615213610254,19.179664775786705,2.4760840754154305,60,192.41666666666666,28.7026200107277,3.705492309802271,60,0.08757544971437686,0.02021274789598893,0.002609454532741804,60,0.9238624267988196,0.08502144318774749,0.010976221117888868,60,-2.2992775471533196,0.7246834908998989,0.09355623638422542,60,0.008546064903779465,0.0010341059382725595,0.0001335025025714606,60,2.6554209362857426,1.4946516179764135,0.192958694160154,60,0.0029603114358111335,0.0008512411305843618,0.0001098947574120002,60,0.016666666666666666,0.13333333333333333
bc_plus_de_vjepa,button-press-v3,brightness,0.11666666666666667,0.3237317715130933,0.04179359199028117,60,62.48191027485936,18.426495049220964,2.378850281820207,60,186.53333333333333,37.475174456765004,4.838024218908948,60,0.08493021514903211,0.024087518426481408,0.0031096852572408923,60,0.9261159075601484,0.07431951719058334,0.009594608412576837,60,-2.434657099279142,0.5964223432251929,0.07699779342057254,60,0.00755325591124129,0.0007901588483932959,0.0001020090686895222,60,3.198277871399746,1.274155166147009,0.16449272463238365,60,0.002063373764910125,0.0004718348910961887,6.0913622512504304e-05,60,0.03333333333333333,0.2
bc_only,button-press-v3,background_shift,0.7833333333333333,0.41545020165658497,0.05363439040648222,60,49.389811765166336,26.87864482256957,3.4700181255478717,60,103.21666666666667,51.397451518522494,6.635382458958024,60,0.021077770218961144,0.0053923784743886835,0.0006961530675918243,60,0.775034790639655,0.019101920824122404,0.0024660473744132906,60,-0.915065637817965,0.48721514218984585,0.06289920439071171,60,,,,0,,,,0,,,,0,0.6666666666666666,0.8833333333333333
bc_plus_vjepa,button-press-v3,background_shift,0.7166666666666667,0.4544196025054849,0.05866531842313124,60,51.78956194901703,28.636115891884554,3.696906664977814,60,107.91666666666667,58.54631417907367,7.558296659912648,60,0.033587267933591354,0.028753666357096804,0.003712082364781347,60,0.8104233536947244,0.02977094913108787,0.0038434130061830497,60,-0.9700837596719045,0.36637018672708116,0.04729818772469623,60,0.01207808447029835,0.000996829377626802,0.00012869011928529696,60,3.935614055827555,2.6661217760089433,0.3441948412481193,60,0.0014212436647796317,0.0005714225468186141,7.377033358253068e-05,60,0.6,0.8166666666666667
bc_plus_de_vjepa,button-press-v3,background_shift,0.7666666666666667,0.42652186808509857,0.05506373639622878,60,49.52269129967571,28.70083356563382,3.7052616807323537,60,100.33333333333333,55.577908873960524,7.175077182862751,60,0.024040711706308445,0.013796088756711096,0.0017810673999180487,60,0.8306922747158404,0.026645960435103817,0.0034399787002952938,60,-0.9860717151697823,0.3260118050838044,0.042087943058553096,60,0.010687215131997376,0.0014234608245964483,0.0001837680022546907,60,3.3955547483605604,1.2205874359882318,0.15757716040574776,60,0.0011475651480119767,0.00022327003591869214,2.8824037694007546e-05,60,0.65,0.8666666666666667
bc_only,drawer-open-v3,clean,1.0,0.0,0.0,60,365.02520054809395,32.16318014513644,4.152248702106082,60,91.71666666666667,6.145390077858325,0.7933664475831198,60,0.02755696115483539,0.001184857132724293,0.00015296439808920858,60,1.1928634452032414,0.022291529672653673,0.002877824106122538,60,-8.369437039909835,0.5284737196628768,0.06822566383875363,60,,,,0,,,,0,,,,0,1.0,1.0
bc_plus_vjepa,drawer-open-v3,clean,0.5333333333333333,0.5030977485864635,0.06494964005966064,60,482.10974401491677,85.91203087663855,11.091195494135949,60,156.66666666666666,43.81496790400946,5.65648803356137,60,0.09807417920695594,0.07851993010126244,0.01013687938758533,60,0.9882975860093757,0.05114941112089956,0.0066033605813186815,60,-8.540409714928431,1.1745740321104463,0.1516368555083818,60,0.005127244474074684,0.001488804160120177,0.00019220379059699217,60,3.8980595493636243,7.945818977513486,1.0258008190629526,60,0.0015470908270058066,0.0014221154394244099,0.0001835943137758394,60,0.41625000000000006,0.65
