method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
bjepa,0.0,none,empirical_task_gaussian,nll,clean,decision_kl,30,0.42569462332856944,0.12608704888739325,0.023020240294960647,0.913281673561569,-53.38846320342032,-5.456227292951642,7.1430990067088965e-06,0.0,1.862645149230957e-09
bjepa,0.0,none,empirical_task_gaussian,nll,clean,action_mse,30,0.0009997014612538665,0.0008684966424859216,0.0001585650674023463,0.003122155863415249,-67.98041145324763,-7.088073531542899,8.476078277828748e-08,0.0,1.862645149230957e-09
bjepa,0.0,none,empirical_task_gaussian,nll,clean,nll,30,-0.5640194415752753,0.18250234459366005,0.0333202169771762,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,uncertainty,30,0.03346591450061493,0.012403036655220861,0.0022644743192092973,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,latent_mse,30,0.19641052658360342,0.023993821053908914,0.00438065234398943,0.25314767015035683,-22.41266669886965,-35.90365274371833,1.3714071388344233e-25,0.0,1.7180929312456739e-06
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,decision_kl,30,3756.410986418582,6535.291183177846,1193.175466963711,4263.651750858989,-11.896861987806904,-3.77081921088804,0.0007426030287803369,19.0,5.718320608139038e-07
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,action_mse,30,0.33444343585014275,0.3027672359444382,0.05527748160008592,0.3626992272842118,-7.790419529051752,-4.463215533306667,0.00011239428765543563,32.0,5.144625902175903e-06
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,nll,30,79.63892707737543,22.20693955220175,4.054413908631523,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,desaturation,uncertainty,30,0.026244858561077184,0.00768081279097206,0.001402318141863203,,,,,,
cosine_jepa,0.0,none,none,nll,blur,latent_mse,30,0.2636071202277942,0.02709950496836164,0.004947670056131665,0.2879303010895259,-8.447593313275112,-17.62419320555182,4.904502115376206e-17,0.0,1.7180929312456739e-06
cosine_jepa,0.0,none,none,nll,blur,decision_kl,30,607.8599720329286,475.4098752757399,86.79757091641343,480.4122985604141,26.52881157589418,3.5160495601977275,0.0014614341709649264,31.0,4.421919584274292e-06
cosine_jepa,0.0,none,none,nll,blur,action_mse,30,0.14274460575333434,0.06494072079739234,0.011856499227125554,0.14694966873752538,-2.8615668346295697,-1.9536473909974588,0.06044982737995509,182.0,0.308520769700408
cosine_jepa,0.0,none,none,nll,blur,nll,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,blur,uncertainty,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,brightness,latent_mse,30,0.0573103894709824,0.0034212781374054987,0.0006246370704520837,0.06321109110006182,-9.33491500682804,-22.64904236492011,5.497618050650547e-20,0.0,1.7180929312456739e-06
cosine_jepa,0.0,none,none,nll,brightness,decision_kl,30,312.68852613227483,370.93580522785,67.72330263654538,386.5413928333798,-19.106069381019577,-2.437659167062745,0.021147054997347012,161.0,0.1459994912147522
cosine_jepa,0.0,none,none,nll,brightness,action_mse,30,0.07848250449127427,0.02905707807571639,0.005305072372419558,0.08491828894447277,-7.578796668179221,-2.439874095870232,0.02104032909202056,131.0,0.036434996873140335
cosine_jepa,0.0,none,none,nll,brightness,nll,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,brightness,uncertainty,30,,,,,,,,,
cosine_jepa,0.0,none,none,nll,clean,latent_mse,30,0.010456509250797722,0.004748584390759057,0.0008669689290118872,0.005173186331297646,102.1289893916271,7.94111105631331,9.302030087506273e-09,0.0,1.7180929312456739e-06
cosine_jepa,0.0,none,none,nll,clean,decision_kl,30,0.7458683363952648,0.532261272218902,0.0971771684268968,0.913281673561569,-18.330964259190072,-2.0657686594106357,0.04788759214441791,150.0,0.09194962680339813
