method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_plus_de_vjepa_value_planner,value_score,0.01,1,button-press-v3,clean,0.48333333333333334,0.503939284299098,60,120.13648752710716,59.483723699973304,60,138.45,64.2825924719535,60,0.03685617261773213,0.03447437313967655,60,0.7931428294240616,0.08195715761563496,60,0.08239691417947739,0.032825803844291075,60,-0.7346409712811979,0.12380131120503002,60,0.7347530440376563,0.12375474228243816,60,-3.560913323286134,1.0523827454965087,60,0.004239727457395206,0.0007109540907084183,60,1.3851699057435336,0.7744885867592342,60,0.0011163555996747578,0.0004603934747853034,60,0.06505828185300304,7.679315708680001,8.298847003163806,0.0044506224346969195,0.010580623551595019,0.0042377930538270246,0.015982680551190762,0.015976668529135794,0.13586202823813387,9.178377844105805e-05,0.09998604661154106,5.943654201820147e-05
bc_plus_de_vjepa_value_planner,value_score,0.01,1,drawer-open-v3,background_shift,0.0,0.0,60,648.6412120095307,286.52186539115814,60,200.0,0.0,60,0.15434829495574232,0.043895948202135916,60,0.35674343654435753,0.08710716442774603,60,0.040997971209270574,0.027048890168893575,60,-0.5254413798066477,0.0321739900566271,60,0.5254744786533216,0.03217938586119693,60,-2.0605577848156296,0.38300050392039675,60,0.00925489668454975,0.0020126272394177507,60,109.96174979459991,39.08480427615552,60,0.008198368512957434,0.0018553524901605413,60,0.0,36.98981376614129,0.0,0.005666942545095193,0.011245486572133716,0.003491996705250611,0.004153644255678659,0.004154340851053271,0.04944515244242483,0.00025982905934627854,5.045826535044226,0.0002395249765245412
bc_plus_de_vjepa_value_planner,value_score,0.01,1,drawer-open-v3,brightness,0.35,0.4809947319913076,60,542.8850431347959,137.65136323700298,60,188.43333333333334,18.853913559183813,60,0.12755733745271106,0.0778216737169701,60,0.8684533277651487,0.10374934134798229,60,0.09996168442665027,0.015684749691773858,60,-0.492687786399261,0.04806876434076162,60,0.49280231851333267,0.04806999603928052,60,-6.193865912676245,0.6103889386432731,60,0.0062969329693187805,0.0007909102574189258,60,276.20107865821655,242.7570507698017,60,0.008864723383831295,0.005361791489202732,60,0.06209615288719447,17.77071457998868,2.434029774185104,0.010046734875993755,0.013393982374024132,0.002024892478189069,0.00620565079215129,0.006205809803746331,0.07880087313582058,0.00010210607517760402,31.33980049352901,0.0006922043047839615
bc_plus_de_vjepa_value_planner,value_score,0.01,1,drawer-open-v3,clean,0.3,0.46212479054244465,60,316.4815064362935,129.8689358549371,60,174.16666666666666,41.17147550768889,60,0.13665282661190783,0.07358280479899794,60,1.0726085273716202,0.04834017784049868,60,0.12568342032083807,0.010148610887988001,60,-0.5166583449767147,0.051453815291342644,60,0.5168334243736045,0.051440941747382174,60,-7.144436440344885,1.7578597657797452,60,0.0074898227619086865,0.0029152484245893603,60,35.98138964716416,52.27583778333339,60,0.006140824390308896,0.004802357527343316,60,0.05966005392134929,16.766007525195022,5.315214632668854,0.009499499251791674,0.00624069012429854,0.0013101800318772265,0.006642658990740086,0.006640997023361234,0.22693871992776746,0.0003763569532830667,6.748781638129688,0.000619981690864483
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,background_shift,0.13333333333333333,0.3428033318008816,60,702.0214052207888,310.5259005203064,60,180.1,51.42600410594901,60,0.2474003274524584,0.09185915939782884,60,0.6453076151554116,0.054872498882757983,60,0.032127833156983136,0.022396079381114323,60,-0.4482107285697784,0.034835759235477964,60,0.44823456680970497,0.034844269177513834,60,-2.918787491060674,0.2542079206244963,60,0.012650922194627557,0.0020175533417834193,60,3.4146721050383255,1.3303373062703059,60,0.0014429388146574612,0.00041569755522766395,60,0.04425571983630766,40.088721376040255,6.639068582144492,0.011858966484813454,0.007084009144590225,0.002891321415446503,0.004497277179049912,0.004498375807842649,0.0328181014350897,0.0002604650164270768,0.17174580773411102,5.366632361519601e-05
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,brightness,0.06666666666666667,0.25154887429323164,60,790.4167347482737,362.65798255200554,60,191.03333333333333,34.20921011214926,60,0.19729808618411981,0.07143643177771879,60,0.8293199967909374,0.06261422937979774,60,0.09654864457047621,0.014889003882965896,60,-0.6062501018169316,0.05275689863879275,60,0.6063626457354946,0.052752599785921804,60,-4.794144989649525,0.4294593497607212,60,0.006991118268851946,0.0006394268700906935,60,4.938565766872796,1.7565695864513662,60,0.002652935879079848,0.0006561774667801686,60,0.032474820029830306,46.81894422643658,4.416390035042148,0.009222403686252906,0.008083462254118927,0.0019221621360114825,0.006810886327519902,0.006810331348000669,0.055442963649877976,8.254965396595964e-05,0.22677215849268634,8.471214669987212e-05
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,clean,0.4,0.49403218175557095,60,938.814404219253,504.57756409213715,60,143.71666666666667,70.64187351553828,60,0.10251333669173375,0.05587168079618626,60,0.5063253545810726,0.1261858963043577,60,0.12639799458277917,0.014331445118782262,60,-0.6678163581994981,0.13568969253535648,60,0.6679977297935097,0.13567326566222795,60,-6.557494418983791,0.7376159388604935,60,0.0043209721941917896,0.001430097067073044,60,3.196157709104535,2.944887049835265,60,0.0023169691770532283,0.0020190914652312227,60,0.06377928041432807,65.14068341995842,9.119826655685685,0.007213002974941538,0.01629052916376778,0.0018501816090709757,0.017517463981381348,0.017515343281179447,0.09522580823679465,0.00018462473747446568,0.38018328334912904,0.00026066358731033525
bc_plus_de_vjepa_value_planner,value_score,0.1,1,button-press-v3,background_shift,0.7666666666666667,0.4265218680850986,60,50.50505938528464,27.557600966392016,60,105.18333333333334,52.836649987682826,60,0.022269795094141863,0.011613962990854997,60,0.7753150964480806,0.026568445669172998,60,3.848642317785157e-06,2.457558631308618e-05,60,-0.4813983847128031,0.04290814417568888,60,0.4813983896980693,0.0429081447995787,60,-0.90641824727301,0.4880355867423377,60,0.01056902871784553,0.0016327018587670896,60,3.627852523058098,1.1450220863269018,60,0.0011686530010181213,0.00026182018017257137,60,0.05506373639622879,3.5576709868088563,6.82118218238953,0.0014993561749016896,0.0034299715870441195,3.1726945504621904e-06,0.005539417593636993,0.005539417674180823,0.06300512332698797,0.0002107809036108944,0.14782171571279207,3.3800839916979807e-05
bc_plus_de_vjepa_value_planner,value_score,0.1,1,button-press-v3,brightness,0.35,0.48099473199130766,60,63.8806603461856,23.192263088307794,60,163.66666666666666,49.9697083382766,60,0.056044753505727685,0.03527984272017405,60,0.790682826195912,0.03799649222297708,60,0.0016201671949072729,0.001790609731526337,60,-0.6638651721140579,0.0707681277970796,60,0.6638718506669771,0.07077045866818257,60,-2.3102964019738517,0.538379989584089,60,0.0077057215225015555,0.0008916790936404818,60,3.9878466638498833,1.6179796618437685,60,0.0023508594711260425,0.0005671456281165461,60,0.06209615288719448,2.9941082900625693,6.451061606966238,0.0045546081104017025,0.004905326053129662,0.00023116672232528123,0.009136126013345581,0.009136426927511047,0.06950455778634997,0.00011511527599436366,0.20888027616077412,7.321818575232426e-05
bc_plus_de_vjepa_value_planner,value_score,0.1,1,button-press-v3,clean,0.9166666666666666,0.2787178067853021,60,66.14991816584288,37.506079367144245,60,80.68333333333334,36.596976658803,60,0.019913266282928967,0.0017420911945729251,60,0.8507092173128525,0.04449608826051062,60,0.014321199559272208,0.007274503378423223,60,-0.6011781357691388,0.07930564385536071,60,0.6012696226987916,0.07928364616817049,60,-2.8221020828158245,0.7057409943328713,60,0.0036842066308906125,0.0005840352803275824,60,0.7907162575957012,0.4327598564817592,60,0.0009732419117112954,0.0005279267366611002,60,0.035982314132364385,4.842014025682776,4.724649370702853,0.00022490300613851744,0.0057444202934777665,0.0009391343478854245,0.010238314597068952,0.010235474707864192,0.09111077059290244,7.53986304768769e-05,0.055869057235365505,6.815504863686899e-05
