method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_stderr,success_count,return_mean,return_std,return_stderr,return_count,episode_length_mean,episode_length_std,episode_length_stderr,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_stderr,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_stderr,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_stderr,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_stderr,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_stderr,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_stderr,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_stderr,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_stderr,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_stderr,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_stderr,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_stderr,mean_action_mse_count,success_ci_low,success_ci_high
bc_plus_vjepa_value_planner,value_score,0.0,1,reach-v3,brightness,0.03333333333333333,0.1810203347193925,0.023369624723103312,60,569.3607025352017,286.8913523134148,37.03751432269267,60,195.51666666666668,24.35576127622852,3.144315260234552,60,0.2975330371252743,0.09637906284228838,0.012442483510375364,60,0.75416561331897,0.08304018651460834,0.010720441981234528,60,0.15982323256819012,0.002390158743623091,0.0003085681669614758,60,-0.5474395094812566,0.0480302559890862,0.006200679385326997,60,0.5474395094812566,0.0480302559890862,0.006200679385326997,60,0.5474395094812566,0.0480302559890862,0.006200679385326997,60,0.5468983266643583,0.04800713490979494,0.0061976944668256165,60,-4.6903805326802575,0.4901870874546149,0.06328288087458807,60,0.006858220032675713,0.0008582517709500751,0.00011079982719142211,60,3.990277187643679,1.7387112729611334,0.22446666013471891,60,0.0031547043419225913,0.0009980280138893384,0.00012884486256139574,60,0.0,0.08333333333333333
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,brightness,0.03333333333333333,0.1810203347193925,0.023369624723103312,60,629.1287289759204,335.73766064939286,43.34354561299119,60,194.96666666666667,27.334690609817837,3.528893383518558,60,0.25131751263208907,0.09126501744722987,0.01178226308881502,60,0.8140838852936609,0.0874636010142072,0.011291502337578488,60,0.15947141365613784,0.0027642859528243203,0.00035686778198145645,60,-0.568147375797439,0.05296608278364588,0.006837891884496796,60,0.568147375797439,0.05296608278364588,0.006837891884496796,60,0.568147375797439,0.05296608278364588,0.006837891884496796,60,0.5677686072759744,0.05294950011888589,0.006835751071681756,60,-4.591959679934713,0.435921466275007,0.05627721930458067,60,0.006311377016905025,0.0006643936116465526,8.577284644112321e-05,60,4.736604208136702,1.9242340099307707,0.2484175424889264,60,0.003039263885758525,0.0006119605123336778,7.900376242682975e-05,60,0.0,0.08333333333333333
bc_plus_vjepa_value_planner,value_score,0.01,1,reach-v3,brightness,0.016666666666666666,0.12909944487358058,0.016666666666666666,60,606.4785888657541,291.1911681462217,37.59261815976667,60,197.7,17.81572339255412,2.3000000000000003,60,0.2833548646916359,0.090979636883632,0.011745420616476826,60,0.7617301884294957,0.08108631150157669,0.010468197801699781,60,0.12386222541783881,0.010863778196077731,0.0014025077343433436,60,-0.5529620528652142,0.04929888805649242,0.0063644590809779624,60,0.5531312134969698,0.04929834062578026,0.006364388407976915,60,0.5531312134969698,0.04929834062578026,0.006364388407976915,60,0.5526674781023495,0.04929126726552895,0.006363475241095081,60,-4.669924788470872,0.45015222890780776,0.058114402860602946,60,0.006898250683248291,0.0009386869053433106,0.00012118395838992066,60,3.8736633979728823,1.8472701645083052,0.23848155276955002,60,0.0031326437844476527,0.0011550791131551162,0.00014912007229339323,60,0.0,0.05
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,brightness,0.016666666666666666,0.12909944487358058,0.016666666666666666,60,660.5384690579473,300.984895206114,38.85698288644214,60,197.45,19.752215065657825,2.55,60,0.24394121308061595,0.07082598566506022,0.00914359543198345,60,0.8260016910401272,0.0777174882756899,0.010033284593360572,60,0.09686250472558222,0.02631196052213465,0.00339685949694315,60,-0.5739535673299263,0.03944616609419068,0.005092478145151073,60,0.5740700848734812,0.039450463857247764,0.00509303298397594,60,0.5740700848734812,0.039450463857247764,0.00509303298397594,60,0.5737842586489911,0.03943686265321153,0.00509127707608525,60,-4.660829546046385,0.44850740426534963,0.05790205691234721,60,0.00636222892513011,0.0006274687546339975,8.1005867898766e-05,60,4.855254521278477,2.122310916332249,0.2739891611476334,60,0.002986014989583512,0.000687486071500523,8.875407018903623e-05,60,0.0,0.05
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,brightness,0.0,0.0,0.0,60,763.465389308754,348.7325706878085,45.02118128513277,60,200.0,0.0,0.0,60,0.23611098383133472,0.059830041100031074,0.007724025092777521,60,0.8898503807658951,0.06516886261055635,0.008413263986065464,60,0.0021881891319450136,0.00314824110299607,0.0004064361787249816,60,-0.5760728909211853,0.028675261322318457,0.0037019603183161684,60,0.5760819291509688,0.028678128547976557,0.0037023304755569564,60,0.5760819291509688,0.028678128547976557,0.0037023304755569564,60,0.5760708533376454,0.028674568743207562,0.0037018709067374207,60,-4.713246496071417,0.38898027541651375,0.0502171376230444,60,0.007584501677192704,0.0009539280046009317,0.00012315157584334268,60,3.6871956776631998,1.9231607873923864,0.24827899005499518,60,0.003094783712988025,0.0012833731897664215,0.00016568276636448137,60,0.0,0.0
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,brightness,0.0,0.0,0.0,60,765.7175401923239,351.5689866320008,45.38736100895857,60,200.0,0.0,0.0,60,0.2347727531581288,0.05945287959773255,0.007675333752203096,60,0.891687963783741,0.06393596404700648,0.008254097465925741,60,0.0010348199671910152,0.0023640440839418236,0.0003051967788935617,60,-0.5810857494783899,0.020041823967692662,0.0025873883484831446,60,0.5810898616872728,0.020042352507110225,0.0025874565826285454,60,0.5810898616872728,0.020042352507110225,0.0025874565826285454,60,0.5810848125033079,0.020041756889103115,0.002587379688674471,60,-4.712669429798923,0.38955219315706074,0.050290971885862366,60,0.006616087856197988,0.0006843980409821397,8.835540716336027e-05,60,4.887093065570886,1.9870606279891823,0.2565284240035518,60,0.0028960624758138033,0.0007339565297771369,9.475338055556797e-05,60,0.0,0.0
bc_plus_vjepa_value_planner,value_score,0.3,1,reach-v3,brightness,0.0,0.0,0.0,60,766.3864656133501,351.8144805801401,45.41905414138318,60,200.0,0.0,0.0,60,0.23490942116181865,0.05996358979372568,0.0077412661549970865,60,0.8923438504040242,0.06344967087125405,0.008191317286890293,60,1.1773390734256122e-05,3.5597706655933034e-05,4.595644168053519e-06,60,-0.5766367480953535,0.028585564950869155,0.003690380566554889,60,0.576636803130309,0.028585610289314733,0.0036903864197230444,60,0.576636803130309,0.028585610289314733,0.0036903864197230444,60,0.5766367392241956,0.028585560460509786,0.003690379986851987,60,-4.715200206081073,0.3880942401000967,0.05010275095555657,60,0.007596618468349285,0.0009389481958591995,0.00012121769085047264,60,3.7045990693078683,1.949055389902683,0.2516219688642965,60,0.003111290831717067,0.0012890516792903818,0.00016641585620974508,60,0.0,0.0
bc_plus_de_vjepa_value_planner,value_score,0.3,1,reach-v3,brightness,0.0,0.0,0.0,60,766.3652905292146,351.7998009086952,45.41715900394871,60,200.0,0.0,0.0,60,0.2349184779244788,0.059952142776997244,0.007739788351491987,60,0.8923510348175961,0.06342895055142174,0.008188642305102339,60,4.356858825000625e-06,1.591731192964657e-05,2.0549161339969933e-06,60,-0.5812539977443715,0.020310520746499125,0.002622076953466378,60,0.5812540138326586,0.020310511352528187,0.002622075740709945,60,0.5812540138326586,0.020310511352528187,0.002622075740709945,60,0.5812539947194358,0.020310522527769537,0.0026220771834273996,60,-4.715269640425841,0.38817630400729497,0.050113345360420024,60,0.006612092032000214,0.0006855332109114671,8.850195697107362e-05,60,4.885310187779212,1.9988045450464067,0.25804455717628083,60,0.0028868905182886134,0.0007318584088634517,9.448251431033356e-05,60,0.0,0.0
bc_only,bc_only,0.0,0,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,702.4175077852279,309.3071886164134,39.93138634578684,60,174.25,58.19972188179806,7.513551786736909,60,0.23297925968446506,0.09182657611913639,0.011854760001622097,60,0.6646801493360996,0.04878884654848038,0.006298613005431124,60,0.0,0.0,0.0,60,,,,0,,,,0,,,,0,,,,0,-2.938819437127366,0.22282135499935118,0.02876611323639526,60,,,,0,,,,0,,,,0,0.08333333333333333,0.26666666666666666
bc_plus_vjepa_value_planner,value_score,0.0,1,reach-v3,background_shift,0.16666666666666666,0.3758230140014145,0.0485185424782985,60,815.1524651286654,410.8434223276649,53.03965775246355,60,177.56666666666666,51.06438828980945,6.592384181023368,60,0.17816134662600802,0.07750914107687593,0.010006387085652721,60,0.5629105784438072,0.07488686164510658,0.009667852266707891,60,0.1608050636249532,0.002951609671784238,0.0003810511701108364,60,-0.5108379752258156,0.06615804174963245,0.008540966463800715,60,0.5108379752258156,0.06615804174963245,0.008540966463800715,60,0.5108379752258156,0.06615804174963245,0.008540966463800715,60,0.5106739393250602,0.06613988882220033,0.008538622930946399,60,-2.7366850527235473,0.5412780039668169,0.0698786898343958,60,0.013960276014202572,0.0014471700101629122,0.0001868288449497259,60,3.7044296625993764,1.4414385227752584,0.18608891310967987,60,0.0018199751440266664,0.0005345517782614177,6.901033782973435e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_de_vjepa_value_planner,value_score,0.0,1,reach-v3,background_shift,0.16666666666666666,0.3758230140014145,0.0485185424782985,60,684.1775662964052,377.220543619615,48.69896277620258,60,175.41666666666666,55.60096684522935,7.178053954153467,60,0.2115673475569878,0.11495149503770648,0.014840174196756057,60,0.6916322109040712,0.08757950793468498,0.011306465856669175,60,0.16044591133647987,0.0028147216874854185,0.0003633790073279954,60,-0.5060931178526191,0.052238135803300056,0.006743914333436751,60,0.5060931178526191,0.052238135803300056,0.006743914333436751,60,0.5060931178526191,0.052238135803300056,0.006743914333436751,60,0.5059399219968378,0.05224278534175918,0.006744514586270742,60,-2.4850818503925733,0.4776873288182417,0.06166916897357855,60,0.013127744824815608,0.0023492742839907425,0.0003032900059189833,60,3.4095098203207503,1.8868635447345588,0.24359303617742797,60,0.00138804670460928,0.0005170673134057466,6.675310312295558e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_vjepa_value_planner,value_score,0.01,1,reach-v3,background_shift,0.13333333333333333,0.34280333180088157,0.044255719836307654,60,803.3495556250432,331.4619093346102,42.791548491835265,60,179.75,52.255767664797425,6.746190596968148,60,0.22012103487304027,0.07925141401610632,0.010231313554925627,60,0.5988539756384674,0.06538510777414329,0.008441181116641135,60,0.052004268181154,0.031886846442270154,0.004116574174466184,60,-0.5061952059941831,0.0609853518056782,0.007873175063533069,60,0.5062434009387943,0.061001794623527596,0.007875297822189584,60,0.5062434009387943,0.061001794623527596,0.007875297822189584,60,0.5061614032770156,0.06097069508721728,0.007871282889316097,60,-3.0082246978278775,0.267585493634085,0.0345451386843834,60,0.014339652825420232,0.0013645453719413907,0.00017616205002244704,60,3.072411696242825,0.7898790404259335,0.10197294563626451,60,0.0015929888402679516,0.000377302770962758,4.870957828055576e-05,60,0.05,0.23333333333333334
bc_plus_de_vjepa_value_planner,value_score,0.01,1,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,698.5514316323921,303.4691934978246,39.177704416802364,60,174.18333333333334,58.314021823596924,7.528307845772225,60,0.23207175685885523,0.09588104402577113,0.01237818955762639,60,0.6383868006026152,0.05678712024069747,0.007331185699043314,60,0.049060724846978,0.02991305582250047,0.0038617589011572377,60,-0.494815349815097,0.06028709000608581,0.007783029852829264,60,0.49485849471355675,0.06029549176093139,0.0077841145147157925,60,0.49485849471355675,0.06029549176093139,0.0077841145147157925,60,0.49478789288920677,0.06028208625691183,0.007782383871588617,60,-2.9050152575967516,0.24871184069970137,0.03210856056781785,60,0.01268355457383951,0.0019070948806839533,0.0002462048904175457,60,3.6494407477459045,1.4235324236956397,0.18377724565864975,60,0.0015215314611849032,0.0004526693560809113,5.8439362581326814e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_vjepa_value_planner,value_score,0.1,1,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,702.4006222289448,309.2972447152818,39.93010259367088,60,174.25,58.19972188179806,7.513551786736909,60,0.23300726887137582,0.09183139879089015,0.011855382605868315,60,0.6646470257199705,0.04879389301543126,0.006299264501513055,60,2.6753368289462918e-05,5.402154773915191e-05,6.974151824336142e-06,60,-0.4970931453639087,0.06159665808166431,0.007952094364410613,60,0.4970931899167249,0.061596699211707295,0.007952099674276328,60,0.4970931899167249,0.061596699211707295,0.007952099674276328,60,0.4970931348312712,0.061596647997145454,0.007952093062504826,60,-2.938948949291694,0.22285703002410126,0.028770718862286347,60,0.0144448617203238,0.0013180093469956319,0.0001701542750353265,60,3.198810669125004,1.1009375676321969,0.14213042882178667,60,0.0016604810393707947,0.0006118790667863124,7.899324785187746e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_de_vjepa_value_planner,value_score,0.1,1,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,702.4276184761252,309.3185268489022,39.932850105307,60,174.25,58.19972188179806,7.513551786736909,60,0.232975521847173,0.09183027100979194,0.011855237009954597,60,0.6646432916615803,0.048786576271954665,0.006298319913991945,60,1.7981431602188474e-05,4.595547814248054e-05,5.932826717094203e-06,60,-0.4943695976042995,0.05932653859248067,0.007659023198560307,60,0.49436962746622654,0.05932654521898678,0.007659024054038568,60,0.49436962746622654,0.05932654521898678,0.007659024054038568,60,0.4943695938243717,0.05932653720620713,0.007659023019593164,60,-2.938849692325845,0.22280840142911912,0.02876444093766917,60,0.012682647708768558,0.0019059873012656407,0.00024606190252948816,60,3.402232511861155,1.2428274703796167,0.1604483364996449,60,0.0014733701484211867,0.00043375410930085147,5.5997414722374314e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_vjepa_value_planner,value_score,0.3,1,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,702.4175077852279,309.3071886164134,39.93138634578684,60,174.25,58.19972188179806,7.513551786736909,60,0.23297925968446506,0.09182657611913639,0.011854760001622097,60,0.6646801493360996,0.04878884654848038,0.006298613005431124,60,0.0,0.0,0.0,60,-0.49709631844945906,0.061604643874446294,0.007953125325825641,60,0.49709631844945906,0.061604643874446294,0.007953125325825641,60,0.49709631844945906,0.061604643874446294,0.007953125325825641,60,0.49709631844945906,0.061604643874446294,0.007953125325825641,60,-2.938819437127366,0.22282135499935118,0.02876611323639526,60,0.014444810753527748,0.0013181807527430668,0.0001701764034221685,60,3.199551201153803,1.1008851300165792,0.14212365915471992,60,0.0016605782615184833,0.0006118061375539709,7.898383272846711e-05,60,0.08333333333333333,0.26666666666666666
bc_plus_de_vjepa_value_planner,value_score,0.3,1,reach-v3,background_shift,0.16666666666666666,0.37582301400141443,0.048518542478298496,60,702.4175077852279,309.3071886164134,39.93138634578684,60,174.25,58.19972188179806,7.513551786736909,60,0.23297925968446506,0.09182657611913639,0.011854760001622097,60,0.6646801493360996,0.04878884654848038,0.006298613005431124,60,0.0,0.0,0.0,60,-0.494372402449871,0.059327363406100876,0.007659129681540801,60,0.494372402449871,0.059327363406100876,0.007659129681540801,60,0.494372402449871,0.059327363406100876,0.007659129681540801,60,0.494372402449871,0.059327363406100876,0.007659129681540801,60,-2.938819437127366,0.22282135499935118,0.02876611323639526,60,0.012681846548535462,0.001906600314436195,0.0002461410421895069,60,3.4026153597247144,1.242746159998221,0.16043783937454426,60,0.0014730927936250815,0.00043364145740080367,5.5982871424614184e-05,60,0.08333333333333333,0.26666666666666666
bc_only,bc_only,0.0,0,button-press-v3,clean,0.95,0.2197841776510828,0.028374015326751198,60,61.8303067945125,29.36961508141642,3.7916010031615994,60,76.61666666666666,28.944184549042653,3.736678157599874,60,0.019682787283886467,0.0012833348624710493,0.00016567781833192531,60,0.8538666910039634,0.04164026565289059,0.005375735180176599,60,0.0,0.0,0.0,60,,,,0,,,,0,,,,0,,,,0,-2.7315470032454385,0.5882767350715328,0.0759461999297773,60,,,,0,,,,0,,,,0,0.8833333333333333,1.0
bc_plus_vjepa_value_planner,value_score,0.0,1,button-press-v3,clean,0.6166666666666667,0.4903014177279001,0.06329764084940143,60,105.65064516865691,67.62687555863141,8.730592093154028,60,118.53333333333333,64.90918471131035,8.379739713426869,60,0.041490994542788186,0.03369646095603146,0.0043501944036279435,60,0.8670834105511758,0.06959412420641627,0.008984562801511355,60,0.15788207244674493,0.002981508227965205,0.0003849110571163209,60,-0.6731027281423859,0.13492278475732503,0.01741845661296826,60,0.6731027281423859,0.13492278475732503,0.01741845661296826,60,0.6731027281423859,0.13492278475732503,0.01741845661296826,60,0.6724465366210299,0.1351421528383577,0.017446776910452558,60,-3.091847540382423,1.0311738860181647,0.1331239762530779,60,0.0045409323964660945,0.0010895887916547431,0.00014066530814310277,60,1.5875406607135547,1.7850838219641114,0.2304533304683763,60,0.001144362748337045,0.0005445392311141204,7.029971244871932e-05,60,0.5,0.75
