dataset,method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,action_mse,30,0.3308031819418631,0.2970753869593239,0.0542382969057325,0.3626992272842118,-8.794075901726389,-3.952223579166074,0.0004554140700128,36.0,9.220093488693236e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,nll,30,72.38679125934428,28.19701564778142,5.148047174872009,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,uncertainty,30,0.0304772177444401,0.0103009258122418,0.0018806831435173,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,blur,latent_mse,30,0.2439754374594946,0.0244027547459837,0.0044553130798805,0.2879303010895259,-15.265799904944494,-38.356666912847714,2.096170576339797e-26,0.0,1.718092931245674e-06
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,blur,decision_kl,30,538.9615885119388,413.6805170057539,75.5273835881503,480.4122985604141,12.187300393218766,2.086195300714692,0.0458653920854165,164.0,0.1641840822994709
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,blur,action_mse,30,0.1445097175844837,0.0659845455900466,0.0120470746887988,0.1469496687375253,-1.6603992196809436,-1.032868395277828,0.3102026889150764,205.0,0.583757072687149
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,blur,nll,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,blur,uncertainty,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,brightness,latent_mse,30,0.0511346657145098,0.0034064091090926,0.0006219223697137,0.0632110911000618,-19.1049152536147,-67.2377717488499,2.147908667970793e-33,0.0,1.718092931245674e-06
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,brightness,decision_kl,30,235.8149092310676,289.0234086580051,52.76821352300777,386.5413928333798,-38.993620449669,-2.9011635563369014,0.0070261832041361,58.0,0.0001373942941427
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,brightness,action_mse,30,0.0743566797932584,0.0299198825696439,0.0054625982004332,0.0849182889444727,-12.437378664236231,-4.017741561305691,0.0003812389991025,73.0,0.0006084088236093
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,brightness,nll,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,brightness,uncertainty,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,clean,latent_mse,30,0.0017375853054419,0.00040739000626,7.437889871025912e-05,0.0051731863312976,-66.41170075530478,-8.614168455269386,1.7357487410342571e-09,0.0,1.718092931245674e-06
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,clean,decision_kl,30,0.2803095460546588,0.1133547685895785,0.0206956545857634,0.913281673561569,-69.30743776325632,-6.925652713859617,1.3035042780156346e-07,0.0,1.862645149230957e-09
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,clean,action_mse,30,0.0006677833135835,0.0006118628242039,0.0001117103569717,0.0031221558634152,-78.61146775507092,-6.954151399472075,1.2084377472072344e-07,0.0,1.862645149230957e-09
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,clean,nll,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,clean,uncertainty,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,desaturation,latent_mse,30,0.2010455421304745,0.0254757011296052,0.0046512053923148,0.2531476701503568,-20.58171342795148,-33.34227403118052,1.1167864549763571e-24,0.0,1.718092931245674e-06
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,desaturation,decision_kl,30,3546.247216408024,6215.3194961850095,1134.7568967207246,4263.651750858989,-16.826058420611652,-3.322263168817862,0.0024234186909514,24.0,1.4193356037139893e-06
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,desaturation,action_mse,30,0.3314721028558328,0.3060993819445518,0.0558858454431401,0.3626992272842118,-8.609647354971978,-5.029451428194937,2.337233605198976e-05,22.0,9.98377799987793e-07
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,desaturation,nll,30,,,,,,,,,
metaworld-5,de_vjepa,0.01,strong_bc,none,nll,desaturation,uncertainty,30,,,,,,,,,
