method,planner_score,planner_alpha,planning_horizon,task,visual_condition,success_mean,success_std,success_count,return_mean,return_std,return_count,episode_length_mean,episode_length_std,episode_length_count,final_distance_to_goal_mean,final_distance_to_goal_std,final_distance_to_goal_count,mean_action_norm_mean,mean_action_norm_std,mean_action_norm_count,mean_action_deviation_from_bc_mean,mean_action_deviation_from_bc_std,mean_action_deviation_from_bc_count,mean_selected_planner_score_mean,mean_selected_planner_score_std,mean_selected_planner_score_count,mean_predicted_value_mean,mean_predicted_value_std,mean_predicted_value_count,mean_predicted_progress_selected_mean,mean_predicted_progress_selected_std,mean_predicted_progress_selected_count,mean_predicted_progress_bc_action_mean,mean_predicted_progress_bc_action_std,mean_predicted_progress_bc_action_count,mean_policy_entropy_mean,mean_policy_entropy_std,mean_policy_entropy_count,mean_prediction_latent_mse_mean,mean_prediction_latent_mse_std,mean_prediction_latent_mse_count,mean_decision_kl_mean,mean_decision_kl_std,mean_decision_kl_count,mean_action_mse_mean,mean_action_mse_std,mean_action_mse_count,success_stderr,return_stderr,episode_length_stderr,final_distance_to_goal_stderr,mean_action_norm_stderr,mean_action_deviation_from_bc_stderr,mean_selected_planner_score_stderr,mean_predicted_value_stderr,mean_predicted_progress_selected_stderr,mean_predicted_progress_bc_action_stderr,mean_policy_entropy_stderr,mean_prediction_latent_mse_stderr,mean_decision_kl_stderr,mean_action_mse_stderr
bc_plus_de_vjepa_cem,cem_value,0.01,1,drawer-open-v3,clean,0.03333333333333333,0.18257418583505536,30,229.2506901618345,51.53843746254312,30,198.26666666666668,9.49385766342288,30,0.18462460875245934,0.029355059468473017,30,1.1237321473102313,0.06608599662472481,30,0.2637089637700628,0.040420198306059994,30,-0.5133667454835413,0.12724694390665336,30,0.5141778599495604,0.12733398018935246,30,0.5141778599495604,0.12733398018935246,30,0.5121089722610389,0.1272123478829538,30,-5.078871586880974,2.4050749344350977,30,0.010015880385053246,0.0023076865991205208,30,124.57683906112896,204.39106015304748,30,0.01039925440596196,0.009212460988850884,30,0.03333333333333333,9.409588258934727,1.7333333333333334,0.005359476082596094,0.01206559702885735,0.007379684797020387,0.023232007183756197,0.023247897762208095,0.023247897762208095,0.023225690842896118,0.43910459802678714,0.0004213240019968969,37.31653139940647,0.001681957564576659
bc_plus_de_vjepa_cem,cem_value,0.01,1,reach-v3,background_shift,0.16666666666666666,0.3790490217894517,30,578.5794689749106,226.5165820898557,30,173.96666666666667,59.30370886426473,30,0.23869653220353484,0.10578078837867744,30,0.625827308922004,0.05993084321031752,30,0.06242889459520521,0.023046419829318182,30,-0.49386428416635986,0.05620668472413103,30,0.4939124666086621,0.05621532186158624,30,0.4939124666086621,0.05621532186158624,30,0.4938167419242974,0.056197891831276936,30,-2.8339979160781272,0.23118244974000732,30,0.01278635497427233,0.0020909480221662827,30,3.8102116818236786,1.4675860086740529,30,0.0015239356460285145,0.00046529470773673466,30,0.06920456654478331,41.356080553194886,10.827326362892288,0.01931284131522732,0.010941824905532077,0.004207681336750643,0.010261889701995867,0.010263466620334697,0.010263466620334697,0.010260284346741895,0.04220794754063544,0.00038175313277042836,0.2679433206765837,8.495080243839437e-05
bc_plus_de_vjepa_cem,cem_value,0.01,1,reach-v3,brightness,0.03333333333333333,0.18257418583505536,30,649.1704659521997,345.32125449862025,30,195.06666666666666,27.020979503588197,30,0.2535917945192788,0.09260006982880281,30,0.7928420089991429,0.07384919354677694,30,0.15624042646316455,0.0706263343653641,30,-0.574909183411262,0.04963492369238203,30,0.5752336149087701,0.04960452105146818,30,0.5752336149087701,0.04960452105146818,30,0.5745538035153578,0.049669753392585406,30,-4.815202820658683,0.4066173131109387,30,0.006489947868334966,0.0007585999130458397,30,5.733872362232122,2.999016025785656,30,0.003225639471320438,0.0008154209317684772,30,0.03333333333333333,63.046746891625546,4.933333333333334,0.01690638235726295,0.013482956386378224,0.012894545495270743,0.009062055782121749,0.009056505044709668,0.009056505044709668,0.009068414786279259,0.07423782488766742,0.000138500761498888,0.5475429092140995,0.00014887481273049197
bc_plus_de_vjepa_cem,cem_value,0.01,1,reach-v3,clean,0.1,0.30512857662936466,30,701.4107720597349,298.52544667575984,30,187.7,37.798148102784076,30,0.2378246077141764,0.11771084685762062,30,0.5640947158606617,0.12826627617453865,30,0.2414587464632068,0.051586330661970436,30,-0.598135408959981,0.15059439895522136,30,0.598847648822234,0.15062857557264195,30,0.598847648822234,0.15062857557264195,30,0.5971547295942471,0.15047470859537643,30,-6.252567609240012,0.6982886372762094,30,0.005127791153679064,0.0010092689266625009,30,5.260482231524508,2.586415496258418,30,0.003801171386490515,0.0017410768232627224,30,0.055708601453115555,54.50304037787309,6.900966115938646,0.02149096202898497,0.023418110942660754,0.009418332320827205,0.027494649780569053,0.02750088954866921,0.02750088954866921,0.02747279741056806,0.12748947942857422,0.0001842664525740263,0.4722127034605514,0.0003178756834834761
bc_plus_de_vjepa_cem,cem_value,0.01,3,button-press-v3,background_shift,0.26666666666666666,0.44977644510880366,30,152.4732504492895,153.07577726942242,30,164.63333333333333,59.87313215477363,30,0.06893621014856398,0.03613339129131943,30,0.7532317023275878,0.15305786034371396,30,0.28293802237993826,0.09392518421991995,30,-1.6747105388988492,0.18941844286615547,30,1.6753081339961275,0.18960288133807535,30,1.6753081339961275,0.18960288133807535,30,0.5667778815387525,0.0635629121310265,30,-1.123058369305933,0.5231173904709996,30,0.011282941537550278,0.001424484067199715,30,3.651311124793732,1.4087292440513446,30,0.0012183614425938345,0.00032907927192006917,30,0.0821175682735253,27.947685406033074,10.93128835655247,0.006597024496472125,0.027944414237909186,0.017148314038359477,0.034582917988432285,0.03461659169227972,0.03461659169227972,0.011604946931627327,0.0955077316614015,0.00026007401880399623,0.2571975947947073,6.0081380145999426e-05
bc_plus_de_vjepa_cem,cem_value,0.01,3,button-press-v3,brightness,0.1,0.30512857662936466,30,109.12126161521772,40.41617441082476,30,186.93333333333334,39.882528655465464,30,0.08412426690588698,0.024712299713683047,30,0.717212346203698,0.14791838772609694,30,0.3894411366730984,0.02708793805378087,30,-2.0320564884413477,0.13348115532664342,30,2.0331922170431076,0.1335345948955903,30,2.0331922170431076,0.1335345948955903,30,0.6811403326195273,0.04938516396882802,30,-3.023172836499502,0.6196570082081424,30,0.0076642454840730794,0.0007114344501090639,30,3.180714095265393,1.4784670852489041,30,0.00196192571203986,0.0005994282350404713,30,0.055708601453115555,7.378950137623929,7.2815201983148725,0.0045118280003375545,0.027006079209126198,0.0049455582361194565,0.024370213258084486,0.02437996994387634,0.02437996994387634,0.009016456103939488,0.11313337377058783,0.00012988956550367265,0.2699299243732461,0.00010944012197905825
bc_plus_de_vjepa_cem,cem_value,0.01,3,button-press-v3,clean,0.13333333333333333,0.34574590364176044,30,142.10026004037755,62.503874299371546,30,184.36666666666667,40.83058634907409,30,0.0828453883459613,0.03194401451521269,30,0.886017368065004,0.12735806330912755,30,0.36582407298779474,0.07076218945914645,30,-2.118723344030975,0.2605535794371302,30,2.119791621067642,0.2603358238209275,30,2.119791621067642,0.2603358238209275,30,0.7288739449942842,0.09621497655033653,30,-2.995703619901725,0.9128812551863175,30,0.00734565312607617,0.001337709931299776,30,2.116136944368687,3.5178512316449737,30,0.0019811449369275544,0.0024622152731131595,30,0.06312427686319992,11.411593961744401,7.454611059850127,0.005832152442418148,0.0232522947181934,0.012919349128409599,0.04757035763214347,0.047530601077804255,0.047530601077804255,0.017566371008816636,0.16666855192972532,0.00024423130159052445,0.6422688245064279,0.0004495369488392736
bc_plus_de_vjepa_cem,cem_value,0.01,3,drawer-open-v3,background_shift,0.0,0.0,30,350.63808256038885,190.47038703533102,30,200.0,0.0,30,0.18849591979633967,0.006421217977446215,30,0.6242087127982328,0.17695132506268346,30,0.3122582285646349,0.07920897851909275,30,-1.6864945351779461,0.09874594986518703,30,1.6872687839865683,0.0989469922335601,30,1.6872687839865683,0.0989469922335601,30,0.5729225642383098,0.033936537854928665,30,-1.7631925314366819,0.45809856767426815,30,0.01056751133237655,0.002625383741805,30,117.87796188706533,71.87997740475421,30,0.008318854717663877,0.0027546552474431835,30,0.0,34.774975838663444,0.0,0.0011723486443016636,0.03230674410575366,0.014461514763949749,0.018028461401145716,0.01806516654786978,0.01806516654786978,0.0061959357689241375,0.08363697302533452,0.0004793272991646391,13.123428352515177,0.0005029289390582022
bc_plus_de_vjepa_cem,cem_value,0.01,3,drawer-open-v3,brightness,0.0,0.0,30,206.92384682122858,46.804390046359416,30,200.0,0.0,30,0.18997731804093332,0.0001242342062890318,30,0.8852332387175411,0.13751874267866201,30,0.3518727638864269,0.08314527186488693,30,-1.1585917477160692,0.21304930820996026,30,1.1597075620690982,0.21321284482541158,30,1.1597075620690982,0.21321284482541158,30,0.38735317964851856,0.071152854451109,30,-4.18672733810544,1.692905834067826,30,0.007663671058098165,0.0007230148051876261,30,346.77804816264904,190.88902186650864,30,0.015028073482251785,0.005359738916043862,30,0.0,8.54527340622044,0.0,2.26819590660843e-05,0.0251073724816172,0.015180180316766068,0.03889730398915527,0.03892716155357552,0.03892716155357552,0.01299067447125142,0.3090809043503487,0.000132003839403822,34.8514077521279,0.0009785499688851702
bc_plus_de_vjepa_cem,cem_value,0.01,3,drawer-open-v3,clean,0.0,0.0,30,174.86152368766338,25.048475876134038,30,200.0,0.0,30,0.1899970005766743,1.6428518146649744e-05,30,1.2481242823402086,0.058306586715425344,30,0.3898913266751915,0.022390854316210487,30,-1.7377490703358005,0.23410025477665966,30,1.7390893789231778,0.2341035344064664,30,1.7390893789231778,0.2341035344064664,30,0.5892375376205891,0.08260127763487606,30,-2.7064263091286023,1.5704300754353833,30,0.012414390379960727,0.0015188407861873867,30,173.7507101919794,149.63116239653488,30,0.015443140912698937,0.008433829107897806,30,0.0,4.573205089494198,0.0,2.9994233251010098e-06,0.010645277598389838,0.004087991996933465,0.04274066341962767,0.04274126219536947,0.04274126219536947,0.015080861013122863,0.28671999243349966,0.00027730111995123756,27.318787650100308,0.0015397994828464333
bc_plus_de_vjepa_cem,cem_value,0.01,3,reach-v3,background_shift,0.13333333333333333,0.3457459036417604,30,380.2286281031945,250.7844925675695,30,177.86666666666667,57.39742474899108,30,0.3033825838383385,0.141895850714449,30,0.7451686001817517,0.08711432500904301,30,0.3152998782948815,0.06388846447261307,30,-1.49551944138128,0.18187507020380758,30,1.4962337060003879,0.1818822375896114,30,1.4962337060003879,0.1818822375896114,30,0.5102716681953685,0.060053770478182514,30,-2.42995687763792,0.6415285191336253,30,0.011975006931679922,0.002218008159192983,30,2.7416195667819867,1.319027190060383,30,0.0013489247963796352,0.00029145104845723413,30,0.06312427686319991,45.78677455058149,10.479288092575903,0.025906519417563084,0.01590482696309643,0.011664384385339191,0.033205692866153706,0.033207001445781405,0.033207001445781405,0.010964268251379456,0.11712654707079038,0.00040495103384016875,0.24082031531957526,5.321143788285279e-05
bc_plus_de_vjepa_cem,cem_value,0.01,3,reach-v3,brightness,0.0,0.0,30,426.339144521712,209.84826806221517,30,200.0,0.0,30,0.3200130820649218,0.09262142406917996,30,0.7702711180727929,0.1212456794046647,30,0.4054823791570961,0.030711563621425415,30,-1.608251106356581,0.12576786255983236,30,1.6095169825653235,0.12577180224646684,30,1.6095169825653235,0.12577180224646684,30,0.5376224336872498,0.041088957938411955,30,-4.981750130275885,0.7407578193089235,30,0.006582992785066987,0.0008718084839872684,30,6.5072808439328025,3.663540275713176,30,0.0037995995650283777,0.0011933020786338141,30,0.0,38.31287669035539,0.0,0.016910281090313933,0.022136331203324797,0.00560713872390325,0.022961965111076534,0.02296268439615627,0.02296268439615627,0.007501783042416397,0.13524325576127777,0.00015916972416806944,0.6688678831122674,0.00021786615546184784
bc_plus_de_vjepa_cem,cem_value,0.01,3,reach-v3,clean,0.06666666666666667,0.2537081317024624,30,480.114875679932,228.439587532086,30,191.0,34.26670244642347,30,0.33275595622766063,0.15615415846513256,30,0.8442013074854685,0.09606303747808656,30,0.44322323139706443,0.025647998652443046,30,-1.4159989047059005,0.4036641530720272,30,1.4175033865387314,0.4036840322603262,30,1.4175033865387314,0.4036840322603262,30,0.4846456894989331,0.1400439882549283,30,-5.9400143047859055,0.8150953609623988,30,0.005434856322977141,0.0011155569572385289,30,6.688025134759177,4.999598374799419,30,0.004009357906734796,0.002592167888842669,30,0.04632055558531008,41.70717170616646,6.256215300407866,0.028509718346529798,0.017538630856404065,0.0046826624722683865,0.07369865409792253,0.07370228352454128,0.07370228352454128,0.025568417136737593,0.14881537190564054,0.00020367190322045608,0.9127976027812699,0.0004732629418532246
bc_plus_de_vjepa_cem,cem_value,0.01,5,button-press-v3,background_shift,0.13333333333333333,0.3457459036417604,30,113.52324593183297,82.07059380893723,30,181.1,49.01185641215314,30,0.08478763125236653,0.026397595304711283,30,0.7939709093663466,0.17980019081720275,30,0.35076376519182617,0.053613151335772206,30,-2.8160242129354054,0.2756918003053598,30,2.8169711452913053,0.2759037224438227,30,2.8169711452913053,0.2759037224438227,30,0.5891625295998085,0.05274336381481956,30,-1.113075917595981,0.6179099906631078,30,0.010939684127542378,0.0012979439034892465,30,3.3885896925308003,1.3690240419329143,30,0.0011803190270585644,0.00023434134253003333,30,0.06312427686319991,14.98397184566625,8.948299780713498,0.004819519470760943,0.03282687345143839,0.009788377455180223,0.05033420598215173,0.05037289749404203,0.05037289749404203,0.0096295767066928,0.11281441346466357,0.00023697105143912286,0.24994844984451853,4.278467981991467e-05
bc_plus_de_vjepa_cem,cem_value,0.01,5,button-press-v3,brightness,0.03333333333333333,0.18257418583505536,30,107.89874793523946,47.82299786299577,30,195.66666666666666,23.7346441585572,30,0.08927607771017626,0.017412190138651553,30,0.740287468310623,0.1179374362900751,30,0.39014184275429165,0.024128953264523103,30,-3.354958657171045,0.1846262473965742,30,3.3561326276745116,0.1846428094941691,30,3.3561326276745116,0.1846428094941691,30,0.6885398349520706,0.05073527255225564,30,-3.053834721749737,0.7073954109315052,30,0.007592285540065772,0.0007913872393543114,30,2.9398431337448945,1.4973989739829678,30,0.0018479911433018751,0.000628981773985927,30,0.03333333333333333,8.731244899028045,4.333333333333333,0.003179016438169487,0.021532331410134175,0.004405323997322407,0.03370798680221105,0.03371101061369516,0.03371101061369516,0.009262951079347706,0.12915214121427399,0.00014448688090536548,0.2733863985451876,0.00011483583529056944
bc_plus_de_vjepa_cem,cem_value,0.01,5,button-press-v3,clean,0.23333333333333334,0.4301830671520764,30,134.42477164782386,69.65807015160036,30,174.4,49.81178367719277,30,0.07907771765155386,0.034269395200485525,30,0.9083488934087781,0.11278205020100397,30,0.38307821343457854,0.04170910447044366,30,-3.3631541673311713,0.4624181015889799,30,3.3642183919236985,0.46230910433598327,30,3.3642183919236985,0.46230910433598327,30,0.7199014083448251,0.11101173949900914,30,-2.8435735958826527,0.9273747476005405,30,0.007501974555743541,0.0018922253867981057,30,2.6419392849778687,3.302864298518131,30,0.002396589425601903,0.0025017074227695973,30,0.0785403232453173,12.717765444769606,9.09434584985537,0.006256706927788399,0.020591090992256644,0.007615005790600519,0.08442560841299993,0.0844057083282758,0.0844057083282758,0.02026787795716485,0.16931468950715864,0.00034547150941108685,0.603017760225619,0.00045674719590967387
bc_plus_de_vjepa_cem,cem_value,0.01,5,drawer-open-v3,background_shift,0.0,0.0,30,318.4460774920123,169.53473575119816,30,200.0,0.0,30,0.18745735567874539,0.012023327363990068,30,0.7153186981342733,0.12474476536209819,30,0.3538903640812884,0.047666004859317004,30,-2.705254260877768,0.20456904435086865,30,2.7063106089234354,0.20471915400399665,30,2.7063106089234354,0.20471915400399665,30,0.5666522832165162,0.037903188052533246,30,-1.7442807403902212,0.48807705562187564,30,0.010597959668142722,0.0028678353877038113,30,120.08532604091288,67.9989349844717,30,0.008276505634302642,0.0026574285509365133,30,0.0,30.95266635053626,0.0,0.002195149204508829,0.022775173973170092,0.008702582029199595,0.037349026719415174,0.037376432867121,0.037376432867121,0.0069201436992442555,0.08911027105493498,0.0005235927110189837,12.414850192440785,0.0004851778541020649
bc_plus_de_vjepa_cem,cem_value,0.01,5,drawer-open-v3,brightness,0.0,0.0,30,201.81951913748188,46.62770496741962,30,200.0,0.0,30,0.18995882685506837,0.0002255146024213952,30,0.9094212465609114,0.10370940066099747,30,0.3566035076385985,0.044157471022610154,30,-1.9253514771064124,0.496184418165932,30,1.9264909917712212,0.4963042036501061,30,1.9264909917712212,0.4963042036501061,30,0.37816227397695185,0.09624274368992036,30,-3.8601420942445595,1.3833235187120794,30,0.007451184814989877,0.0011144304720459325,30,266.4856304665108,159.36592616009017,30,0.012652048474289282,0.0059130380405150815,30,0.0,8.513015271783804,0.0,4.1173144931002435e-05,0.018934659389123167,0.008062014320488099,0.0905904661706857,0.09061233590793363,0.09061233590793363,0.017571440571719124,0.2525591651753419,0.00020346623610356256,29.096104218528016,0.0010795681060587522
